,LR-rand-train,LR-rand-test,RF-rand-train,RF-rand-test,DT-rand-train,DT-rand-test,BG-rand-train,BG-rand-test,AD-rand-train,AD-rand-test,GB-rand-train,GB-rand-test,XG-rand-train,XG-rand-test
model_accuracy,0.8467832957110609,0.8456729187232642,0.9637415349887133,0.943402435011517,0.7325056433408578,0.7291872326423166,0.9257900677200903,0.9154327081276735,0.9861738148984198,0.9638038828562027,0.9901241534988713,0.9736755511681474,0.9562641083521445,0.9410990457387298
model_recall_sensitivity_TPR,0.8542581211589113,0.8483606557377049,0.9780509218612818,0.9036885245901639,0.9640035118525022,0.9590163934426229,0.7243195785776997,0.694672131147541,0.9552238805970149,0.8790983606557377,0.9561018437225637,0.8872950819672131,0.974539069359087,0.9467213114754098
model_precision,0.5139989434759641,0.511742892459827,0.8276374442793462,0.7791519434628975,0.3718252624449712,0.3682140047206924,0.7955641272902604,0.7583892617449665,0.958590308370044,0.89375,0.981965734896303,0.9454148471615721,0.7979870596693026,0.751219512195122
Specificity_TNR,0.8453521600268953,0.8451587612700902,0.9610018490502605,0.950999607996864,0.688182887880316,0.6852214817718542,0.9643637586148932,0.9576636613092905,0.9920995125231131,0.9800078400627205,0.9966380904353673,0.9901999215993728,0.9527651706169104,0.9400235201881615
model_f1,0.641820580474934,0.638396299151889,0.896579476861167,0.8368121442125237,0.5366568914956011,0.5321205230244457,0.7582720588235293,0.7251336898395723,0.9569041336851363,0.8863636363636364,0.9688612099644128,0.9154334038054968,0.8774703557312253,0.8377153218495014
FPR,0.15464783997310472,0.15484123872990985,0.03899815094973946,0.049000392003135995,0.311817112119684,0.31477851822814584,0.03563624138510679,0.04233633869070952,0.007900487476886875,0.01999215993727954,0.00336190956463267,0.009800078400627243,0.04723482938308965,0.05997647981183851
