,LR-rand-train,LR-rand-test,LR-over-rand-train,LR-over-rand-test,LR-under-rand-train,LR-under-rand-test,DT-rand-train,DT-rand-test,RF-rand-train,RF-rand-test,BG-rand-train,BG-rand-test,AD-rand-train,AD-rand-test,GB-rand-train,GB-rand-test,XG-rand-train,XG-rand-test
model_accuracy,0.847206546275395,0.8456729187232642,0.8840293453724605,0.8861467588022376,0.8405756207674944,0.84106614017769,0.7325056433408578,0.7291872326423166,0.9637415349887133,0.9440605462323133,0.9240970654627539,0.9134583744652847,0.9873024830699775,0.9684106614017769,0.9933690744920993,0.9723593287265548,0.9451185101580135,0.9401118789075353
model_recall_sensitivity_TPR,0.8542581211589113,0.8524590163934426,0.6918349429323969,0.6905737704918032,0.8560140474100087,0.8565573770491803,0.9640035118525022,0.9590163934426229,0.9789288849868305,0.8934426229508197,0.7278314310798947,0.6926229508196722,0.95171202809482,0.8913934426229508,0.9719051799824407,0.8852459016393442,0.9736611062335382,0.9631147540983607
model_precision,0.5148148148148148,0.5116851168511685,0.6258935663224782,0.6334586466165414,0.5023183925811437,0.5030084235860409,0.3718252624449712,0.3682140047206924,0.8271513353115727,0.7870036101083032,0.7842951750236519,0.7494456762749445,0.968722073279714,0.9100418410041841,0.9866310160427807,0.9391304347826087,0.7554495912806539,0.7413249211356467
Specificity_TNR,0.8458564464615902,0.8443747549980399,0.9208270297528997,0.9235593884751078,0.83761976802824,0.8381027048216386,0.688182887880316,0.6852214817718542,0.9608337535720289,0.9537436299490396,0.961674230963187,0.955703645629165,0.9941166582618928,0.9831438651509212,0.9974785678265254,0.9890239121912975,0.9396537233148429,0.9357114856918856
model_f1,0.6424562561901618,0.6395080707148347,0.6572143452877399,0.6607843137254902,0.6331168831168831,0.6338134950720243,0.5366568914956011,0.5321205230244457,0.8966626457579413,0.8368522072936659,0.7550091074681239,0.7199148029818957,0.9601417183348095,0.9006211180124224,0.9792127377266696,0.9113924050632911,0.8507863444572306,0.8377896613190732
FPR,0.1541435535384098,0.15562524500196007,0.07917297024710035,0.07644061152489223,0.16238023197176,0.16189729517836138,0.311817112119684,0.31477851822814584,0.03916624642797106,0.046256370050960394,0.03832576903681295,0.04429635437083501,0.005883341738107228,0.016856134849078774,0.002521432173474558,0.010976087808702517,0.06034627668515713,0.06428851430811444
